STY,,,,,,,,,,,,,,,,,,,,,,,
,threshold,, FDR,, k>=1,,k=1,,k=2,,k=3,,k=4,k=5,,,,,,,,,
$\ge,60,\%$ &,0.05,\% &,90.3,\% &,90.3,\% &,0.0,\% &,0.0,\\,0,0,,,,,,,,,
$\ge,55,\%$ &,0.06,\% &,91.5,\% &,91.5,\% &,0.0,\% &,0.0,\\,0,0,,,,,,,,,
$\ge,50,\%$ &,0.06,\% &,92.5,\% &,92.5,\% &,0.0,\% &,0.0,\\,0,0,,,,,,,,,
$\ge,45,\%$ &,0.06,\% &,93.4,\% &,93.2,\% &,0.2,\% &,0.0,\\,0,0,,,,,,,,,
$\ge,40,\%$ &,0.07,\% &,93.8,\% &,93.2,\% &,0.6,\% &,0.0,\\,0,0,,,,,,,,,
$\ge,39,\%$ &,0.07,\% &,93.8,\% &,93.2,\% &,0.7,\% &,0.0,\\,0,0,,,,,,,,,
$\ge,38,\%$ &,0.07,\% &,94.0,\% &,93.2,\% &,0.7,\% &,0.0,\\,0,0,,,,,,,,,
$\ge,37,\%$ &,0.07,\% &,94.0,\% &,93.2,\% &,0.8,\% &,0.0,\\,0,0,,,,,,,,,
$\ge,36,\%$ &,0.08,\% &,94.1,\% &,93.2,\% &,0.8,\% &,0.0,\\,0,0,,,,,,,,,
$\ge,35,\%$ &,0.08,\% &,94.2,\% &,93.3,\% &,0.9,\% &,0.0,\\,0,0,,,,,,,,,
$\ge,34,\%$ &,0.08,\% &,94.3,\% &,93.2,\% &,1.1,\% &,0.0,\\,0,0,,,,,,,,,
$\ge,33,\%$ &,0.08,\% &,94.4,\% &,93.1,\% &,1.2,\% &,0.0,\\,0,0,,,,,,,,,
$\ge,32,\%$ &,0.08,\% &,94.4,\% &,93.1,\% &,1.2,\% &,0.0,\\,0,0,,,,,,,,,
$\ge,31,\%$ &,0.09,\% &,94.4,\% &,93.0,\% &,1.4,\% &,0.0,\\,0,0,,,,,,,,,
$\ge,30,\%$ &,0.09,\% &,94.4,\% &,92.9,\% &,1.5,\% &,0.0,\\,0,0,,,,,,,,,
$\ge,25,\%$ &,0.11,\% &,94.8,\% &,92.4,\% &,2.4,\% &,0.0,\\,0,0,,,,,,,,,
$\ge,20,\%$ &,0.14,\% &,94.9,\% &,91.4,\% &,3.3,\% &,0.1,\\,0,0,,,,,,,,,
$\ge,15,\%$ &,0.17,\% &,95.4,\% &,90.3,\% &,4.9,\% &,0.1,\\,0,0,,,,,,,,,
$\ge,10,\%$ &,0.23,\% &,95.8,\% &,87.9,\% &,7.5,\% &,0.4,\\,0,0,,,,,,,,,
$\ge,5,\%$ &,0.30,\% &,96.5,\% &,83.0,\% &,12.9,\% &,0.6,\\,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
STYDE,,,,,,,,,,,,,,,,,,,,,,,
,threshold,, FDR,, k>=1,,k=1,,k=2,,k=3,,k=4,k=5,,,,,,,,,
$\ge,60,\%$ &,0.05,\% &,90.8,\% &,90.8,\% &,0.0,\% &,0.0,\% &,0.0,\\,,,0,,,,,,
$\ge,55,\%$ &,0.06,\% &,92.0,\% &,92.0,\% &,0.0,\% &,0.0,\% &,0.0,\\,,,0,,,,,,
$\ge,50,\%$ &,0.06,\% &,93.2,\% &,92.9,\% &,0.2,\% &,0.0,\% &,0.0,\\,,,0,,,,,,
$\ge,45,\%$ &,0.06,\% &,94.0,\% &,93.4,\% &,0.5,\% &,0.0,\% &,0.0,\\,,,0,,,,,,
$\ge,40,\%$ &,0.06,\% &,94.6,\% &,93.3,\% &,1.2,\% &,0.0,\% &,0.0,\\,,,0,,,,,,
$\ge,39,\%$ &,0.06,\% &,94.6,\% &,93.3,\% &,1.3,\% &,0.0,\% &,0.0,\\,,,0,,,,,,
$\ge,38,\%$ &,0.07,\% &,94.8,\% &,93.3,\% &,1.5,\% &,0.0,\% &,0.0,\\,,,0,,,,,,
$\ge,37,\%$ &,0.07,\% &,94.9,\% &,93.3,\% &,1.6,\% &,0.0,\% &,0.0,\\,,,0,,,,,,
$\ge,36,\%$ &,0.07,\% &,95.0,\% &,93.3,\% &,1.7,\% &,0.0,\% &,0.0,\\,,,0,,,,,,
$\ge,35,\%$ &,0.07,\% &,95.1,\% &,93.2,\% &,1.9,\% &,0.0,\% &,0.0,\\,,,0,,,,,,
$\ge,34,\%$ &,0.07,\% &,95.2,\% &,93.1,\% &,2.1,\% &,0.0,\% &,0.0,\\,,,0,,,,,,
$\ge,33,\%$ &,0.07,\% &,95.4,\% &,93.1,\% &,2.4,\% &,0.0,\% &,0.0,\\,,,0,,,,,,
$\ge,32,\%$ &,0.07,\% &,95.5,\% &,93.0,\% &,2.5,\% &,0.0,\% &,0.0,\\,,,0,,,,,,
$\ge,31,\%$ &,0.07,\% &,95.5,\% &,92.9,\% &,2.6,\% &,0.0,\% &,0.0,\\,,,0,,,,,,
$\ge,30,\%$ &,0.07,\% &,95.6,\% &,92.8,\% &,2.8,\% &,0.0,\% &,0.0,\\,,,0,,,,,,
$\ge,25,\%$ &,0.08,\% &,96.5,\% &,91.9,\% &,4.5,\% &,0.1,\% &,0.0,\\,,,0,,,,,,
$\ge,20,\%$ &,0.08,\% &,97.5,\% &,90.6,\% &,6.6,\% &,0.3,\% &,0.0,\\,,,0,,,,,,
$\ge,15,\%$ &,0.10,\% &,98.5,\% &,88.1,\% &,9.6,\% &,0.8,\% &,0.0,\\,,,0,,,,,,
$\ge,10,\%$ &,0.12,\% &,99.2,\% &,82.7,\% &,15.0,\% &,1.4,\% &,0.1,\\,,,0,,,,,,
$\ge,5,\%$ &,0.15,\% &,99.6,\% &,74.3,\% &,21.6,\% &,3.4,\% &,0.2,\\,,,0.044425,,,,,,
